Fecha,Codigo habilitaci¢n,NOMBRE SEDE PRESTADOR,Localidad,Upz,"Numerador
Camas ocupadas covid -19 confirmados y probables","Denominador
(camas asignadas atenci¢n covid-19)",%Ocupaci¢n covid 19
4/13/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/13/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/13/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,0,6,0.0%
4/13/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,9,28,32.1%
4/13/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,3,19,15.8%
4/13/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,32,6.3%
4/13/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,6,38,15.8%
4/13/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,6,20,30.0%
4/13/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/13/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,7,20,35.0%
4/13/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
4/13/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,6,6,100.0%
4/13/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,9,12,75.0%
4/13/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,1,15,6.7%
4/13/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,4,56,7.1%
4/13/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,24,0.0%
4/13/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,3,18,16.7%
4/14/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,5,10,50.0%
4/14/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,5,9,55.6%
4/14/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,4,7,57.1%
4/14/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,2,8,25.0%
4/14/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,3,11,27.3%
4/14/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,5,16,31.3%
4/14/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,2,14,14.3%
4/14/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,2,6,33.3%
4/14/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,6,23,26.1%
4/14/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,5,8,62.5%
4/14/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/14/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,3,15,20.0%
4/14/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/14/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/14/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,10,24,41.7%
4/14/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,14,20,70.0%
4/14/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,5,9,55.6%
4/14/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,8,38,21.1%
4/14/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/14/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,2,6,33.3%
4/14/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,9,28,32.1%
4/14/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,3,7,42.9%
4/14/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,4,32,12.5%
4/14/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,9,38,23.7%
4/14/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/14/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,5,10,50.0%
4/14/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
4/14/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,7,6,116.7%
4/14/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,10,12,83.3%
4/14/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,2,15,13.3%
4/14/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
4/14/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,3,23,13.0%
4/15/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,6,10,60.0%
4/15/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
4/15/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,4,7,57.1%
4/15/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,2,8,25.0%
4/15/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,2,11,18.2%
4/15/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,4,16,25.0%
4/15/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,0,6,0.0%
4/15/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,3,6,50.0%
4/15/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,7,23,30.4%
4/15/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,5,8,62.5%
4/15/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/15/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,6,15,40.0%
4/15/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/15/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/15/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,10,24,41.7%
4/15/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,18,20,90.0%
4/15/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,5,9,55.6%
4/15/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,12,38,31.6%
4/15/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/15/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/15/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,2,6,33.3%
4/15/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,9,28,32.1%
4/15/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,3,7,42.9%
4/15/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,3,32,9.4%
4/15/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,3,38,7.9%
4/15/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,6,20,30.0%
4/15/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/15/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
4/15/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
4/15/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,7,6,116.7%
4/15/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,10,26,38.5%
4/15/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,3,15,20.0%
4/15/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,1,20,5.0%
4/15/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
4/15/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,5,26,19.2%
4/16/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,4,10,40.0%
4/16/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,3,9,33.3%
4/16/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,4,7,57.1%
4/16/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,1,8,12.5%
4/16/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,3,11,27.3%
4/16/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,5,16,31.3%
4/16/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,2,6,33.3%
4/16/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,4,6,66.7%
4/16/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,6,23,26.1%
4/16/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,5,8,62.5%
4/16/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/16/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,3,15,20.0%
4/16/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/16/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/16/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,8,24,33.3%
4/16/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,16,20,80.0%
4/16/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,4,9,44.4%
4/16/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,8,38,21.1%
4/16/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/16/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/16/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,3,6,50.0%
4/16/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,7,28,25.0%
4/16/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,7,28.6%
4/16/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,3,32,9.4%
4/16/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,7,38,18.4%
4/16/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,6,20,30.0%
4/16/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/16/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
4/16/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,4,16,25.0%
4/16/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,8,6,133.3%
4/16/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,10,27,37.0%
4/16/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,3,15,20.0%
4/16/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,1,20,5.0%
4/16/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
4/16/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,6,26,23.1%
4/17/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,4,10,40.0%
4/17/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,3,9,33.3%
4/17/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,6,7,85.7%
4/17/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,1,8,12.5%
4/17/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,2,11,18.2%
4/17/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,6,16,37.5%
4/17/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,3,6,50.0%
4/17/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,2,6,33.3%
4/17/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,4,23,17.4%
4/17/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,5,8,62.5%
4/17/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/17/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,2,15,13.3%
4/17/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/17/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/17/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,6,24,25.0%
4/17/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,11,20,55.0%
4/17/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,2,9,22.2%
4/17/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,7,38,18.4%
4/17/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/17/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/17/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,2,6,33.3%
4/17/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,6,28,21.4%
4/17/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,7,28.6%
4/17/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,32,6.3%
4/17/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,7,38,18.4%
4/17/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,4,20,20.0%
4/17/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/17/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,7,20,35.0%
4/17/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,4,16,25.0%
4/17/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,8,6,133.3%
4/17/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,8,26,30.8%
4/17/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,4,15,26.7%
4/17/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,0,20,0.0%
4/17/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
4/17/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,6,26,23.1%
4/18/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,7,10,70.0%
4/18/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,3,9,33.3%
4/18/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,5,7,71.4%
4/18/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,1,8,12.5%
4/18/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,1,11,9.1%
4/18/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,6,16,37.5%
4/18/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,3,6,50.0%
4/18/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,3,6,50.0%
4/18/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,6,23,26.1%
4/18/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,2,8,25.0%
4/18/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,2,6,33.3%
4/18/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,1,15,6.7%
4/18/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/18/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/18/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,5,24,20.8%
4/18/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,10,20,50.0%
4/18/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,3,9,33.3%
4/18/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,12,38,31.6%
4/18/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/18/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/18/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,2,6,33.3%
4/18/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,6,28,21.4%
4/18/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,7,28.6%
4/18/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,4,32,12.5%
4/18/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,7,38,18.4%
4/18/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,3,20,15.0%
4/18/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/18/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
4/18/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
4/18/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,8,9,88.9%
4/18/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,8,26,30.8%
4/18/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,4,15,26.7%
4/18/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,3,16,18.8%
4/18/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
